"question","answer"
"R quirks - Episode 2 - How to print names of all the columns of tibble","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/PPZJ9HxHrR4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
"R tutorial episode 10 - anonymous function in R","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/BnAQKz8vG90"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
"R Tutorial Episode 9 - Sample function in R","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/kbX-ut6qaKc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
"R tutorial Episode 8 - pivot_longer and pivot_wider from tidyr 1.0.0 in R","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/6Y-fxqLsNDI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
"R quirks - Episode 1 - Why sum(1:10, na.rm = &quot;abc&quot;) works but mean(1:10, na.rm = &quot;abc&quot;) doesn&#39;t ?","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/tKHr6YvrwDk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
"How to search answers on Stack Overflow Ft. R","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/G3LMA5GAHrI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
"R Tutorial Episode 7.1 - Why using apply function in R changes the class of the dataframe ?","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/9ItxPHQJhwY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
"R tutorial episode 7 - apply function in R","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/J-aHwp21jcU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
"R Tutorial episode 6 - sub and gsub function in R","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/4ZokHoF99DY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
"R Tutorial Episode 5 -  grep and grepl function in R","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/AQPjeUOw0w4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
"Pluralsight audition - aggregate function in R","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/b72GznP7RkU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
"R Tutorial - Use cases for rep, seq function to subset data frames","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/g-yiKUoZL2k"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
"R Tutorial Episode - 4  Aggregate function in R","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/8Zn1dx1XE1Y"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
"How to ask questions the right way on Stack Overflow Ft. - R","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/mmtRsDg3T5Q"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
"R Tutorial Episode 3 - Repeat (rep) function in R","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/gjfkdsuxodA"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
"R Tutorial Episode 2 - Sequence (seq) function in R","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/thKMIdnwYdc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
"R tutorial Episode 1.2 Subsetting Rows and Columns","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/_NomGdwOyr0"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
"R tutorial Episode 1.1 Subsetting Rows and Columns","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/_27Qvy_0UIQ"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
"R tutorial - Episode 0 - Background and motivation.","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/THX0R7pZ6F8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
